"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 11:01:56 GMT 2023","Tue Dec 26 11:02:17 GMT 2023","21169","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '5G Network - ISP'",""
"failed","Tue Jul 16 09:39:40 GMT 2024","Tue Jul 16 09:41:01 GMT 2024","80482","chromium","TestSuite.spec.js","Test Suite","","","Add10PercentDiscount6MonthsToResidential","Add discount 'Add '10% Discount - 6 months' for any product available, to a Residential account, and verify the discount duration and percentage"
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:56 GMT 2023","79118","edge","TestSuite.spec.js","Test Suite","","","Add 'Apple iPhone 7' to consumer account(B2C)",""
"failed","Tue Jul 16 09:39:38 GMT 2024","Tue Jul 16 09:41:01 GMT 2024","82979","chromium","TestSuite.spec.js","Test Suite","","","IPhone7ToConsumerB2C","Add 'Apple iPhone 7' to consumer account with B2C product price list"
"passed","Tue Jul 16 09:39:03 GMT 2024","Tue Jul 16 09:40:38 GMT 2024","94868","chromium","TestSuite.spec.js","Test Suite","","","Verify5GNetworkVoice","Verify that product '5G Network - Voice' exists, and verify product details"
"passed","Tue Jul 16 09:39:08 GMT 2024","Tue Jul 16 09:40:35 GMT 2024","86836","chromium","TestSuite.spec.js","Test Suite","","","Verify5GNetworkISP","Verify that product '5G Network - ISP' exists, and verify product details"
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:06 GMT 2023","29559","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '5G Network - Voice'",""
"passed","Tue Dec 26 11:01:06 GMT 2023","Tue Dec 26 11:01:33 GMT 2023","26435","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '10Times 10GB National 150kr'",""
"passed","Tue Dec 26 11:02:51 GMT 2023","Tue Dec 26 11:04:16 GMT 2023","85158","edge","TestSuite.spec.js","Test Suite","","","Add '10% Discount - 6 months' to Residential account",""
"failed","Tue Jul 16 09:39:09 GMT 2024","Tue Jul 16 09:40:47 GMT 2024","98352","chromium","TestSuite.spec.js","Test Suite","","","Verify10Times10GBNational150kr","Verify that product '10Times 10GB National 150kr' exists, and to verify product details and it's child products"
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:50 GMT 2023","72887","edge","TestSuite.spec.js","Test Suite","","","Order '5G Network - Voice' through business account(B2B)",""
"failed","Tue Jul 16 09:39:42 GMT 2024","Tue Jul 16 09:41:01 GMT 2024","79076","chromium","TestSuite.spec.js","Test Suite","","","5GNetwork-VoiceToBusiness","Order product '5G Network - Voice' through business account with B2B product price list."
"failed","Tue Jul 16 09:39:40 GMT 2024","Tue Jul 16 09:41:00 GMT 2024","80635","chromium","TestSuite.spec.js","Test Suite","","","IPhone8ToBusinessB2B","Add product 'Apple iPhone 8' to business account with B2B product price list"
