"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:50 GMT 2023","72887","edge","TestSuite.spec.js","Test Suite","","","Order '5G Network - Voice' through business account(B2B)",""
"passed","Thu May 02 12:46:32 GMT 2024","Thu May 02 12:46:33 GMT 2024","478","chromium","IPhone7ToResidentialB2C.spec.js","","","","API POST Request",""
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:06 GMT 2023","29559","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '5G Network - Voice'",""
"passed","Tue Dec 26 11:01:56 GMT 2023","Tue Dec 26 11:02:17 GMT 2023","21169","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '5G Network - ISP'",""
"passed","Thu May 02 12:46:32 GMT 2024","Thu May 02 12:46:33 GMT 2024","478","chromium","IPhone7ToResidentialB2C.spec.js","","","","API PUT Request",""
"passed","Thu May 02 12:46:32 GMT 2024","Thu May 02 12:46:32 GMT 2024","184","chromium","IPhone7ToResidentialB2C.spec.js","","","","API GET Request",""
"failed","Thu May 02 12:46:34 GMT 2024","Thu May 02 12:46:36 GMT 2024","1328","chromium","authentication.spec.js","","","","OAuth 2.0 Authorization Code Flow with Salesforce",""
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:56 GMT 2023","79118","edge","TestSuite.spec.js","Test Suite","","","Add 'Apple iPhone 7' to consumer account(B2C)",""
"passed","Tue Dec 26 11:02:51 GMT 2023","Tue Dec 26 11:04:16 GMT 2023","85158","edge","TestSuite.spec.js","Test Suite","","","Add '10% Discount - 6 months' to Residential account",""
"passed","Tue Dec 26 11:01:06 GMT 2023","Tue Dec 26 11:01:33 GMT 2023","26435","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '10Times 10GB National 150kr'",""
