"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 19 09:58:13 GMT 2024","Mon Aug 19 09:58:17 GMT 2024","3797","chromium","TestSuite.spec.js","Test Suite","","","Verify5GNetworkVoice",""
"passed","Tue Dec 26 11:02:51 GMT 2023","Tue Dec 26 11:04:16 GMT 2023","85158","edge","TestSuite.spec.js","Test Suite","","","Add '10% Discount - 6 months' to Residential account",""
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:56 GMT 2023","79118","edge","TestSuite.spec.js","Test Suite","","","Add 'Apple iPhone 7' to consumer account(B2C)",""
"passed","Tue Dec 26 11:01:06 GMT 2023","Tue Dec 26 11:01:33 GMT 2023","26435","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '10Times 10GB National 150kr'",""
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:06 GMT 2023","29559","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '5G Network - Voice'",""
"passed","Tue Dec 26 11:00:37 GMT 2023","Tue Dec 26 11:01:50 GMT 2023","72887","edge","TestSuite.spec.js","Test Suite","","","Order '5G Network - Voice' through business account(B2B)",""
"failed","Mon Aug 19 09:58:13 GMT 2024","Mon Aug 19 09:58:17 GMT 2024","3227","chromium","TestSuite.spec.js","Test Suite","","","Verify5GNetworkISP",""
"passed","Tue Dec 26 11:01:56 GMT 2023","Tue Dec 26 11:02:17 GMT 2023","21169","edge","TestSuite.spec.js","Test Suite","","","Verify details of product '5G Network - ISP'",""
"failed","Mon Aug 19 09:58:12 GMT 2024","Mon Aug 19 09:58:16 GMT 2024","3606","chromium","TestSuite.spec.js","Test Suite","","","IPhone8ToBusinessB2B",""
"failed","Mon Aug 19 09:58:14 GMT 2024","Mon Aug 19 09:58:17 GMT 2024","3721","chromium","TestSuite.spec.js","Test Suite","","","5GNetwork-VoiceToBusiness",""
"failed","Mon Aug 19 09:58:13 GMT 2024","Mon Aug 19 09:58:17 GMT 2024","4112","chromium","TestSuite.spec.js","Test Suite","","","Verify10Times10GBNational150kr",""
"failed","Mon Aug 19 09:58:14 GMT 2024","Mon Aug 19 09:58:17 GMT 2024","3584","chromium","TestSuite.spec.js","Test Suite","","","Add10PercentDiscount6MonthsToResidential",""
"failed","Mon Aug 19 09:58:13 GMT 2024","Mon Aug 19 09:58:17 GMT 2024","3766","chromium","TestSuite.spec.js","Test Suite","","","IPhone7ToConsumerB2C",""
